Compound,Negative,Neutral,Positive,Tweet Date,Tweets Ago,User
0.0,1.0,0.0,0.0,Mon Sep 17 22:31:52 +0000 2018,88,@BBCBreaking
0.2732,0.905,0.0,0.095,Mon Sep 17 22:31:34 +0000 2018,89,@BBCBreaking
0.0,1.0,0.0,0.0,Mon Sep 17 22:31:29 +0000 2018,90,@BBCBreaking
-0.5574,0.847,0.153,0.0,Mon Sep 17 22:30:52 +0000 2018,91,@BBCBreaking
-0.7506,0.522,0.478,0.0,Mon Sep 17 22:30:36 +0000 2018,92,@BBCBreaking
0.0,1.0,0.0,0.0,Mon Sep 17 22:30:14 +0000 2018,93,@BBCBreaking
-0.6597,0.769,0.231,0.0,Mon Sep 17 22:30:11 +0000 2018,94,@BBCBreaking
0.3265,0.533,0.174,0.293,Mon Sep 17 22:30:00 +0000 2018,95,@BBCBreaking
-0.6597,0.748,0.252,0.0,Mon Sep 17 22:29:56 +0000 2018,96,@BBCBreaking
0.0,1.0,0.0,0.0,Mon Sep 17 22:29:36 +0000 2018,97,@BBCBreaking
-0.1573,0.491,0.28,0.229,Mon Sep 17 22:29:25 +0000 2018,98,@BBCBreaking
0.0,1.0,0.0,0.0,Mon Sep 17 22:29:07 +0000 2018,99,@BBCBreaking
-0.0516,0.72,0.144,0.136,Mon Sep 17 22:28:44 +0000 2018,100,@BBCBreaking
0.4871,0.826,0.0,0.174,Mon Sep 17 22:28:44 +0000 2018,1,@CBSNews
-0.5859,0.853,0.147,0.0,Mon Sep 17 22:28:43 +0000 2018,2,@CBSNews
-0.296,0.885,0.115,0.0,Mon Sep 17 22:28:41 +0000 2018,3,@CBSNews
-0.4939,0.769,0.231,0.0,Mon Sep 17 22:28:33 +0000 2018,4,@CBSNews
0.128,0.769,0.104,0.127,Mon Sep 17 22:28:32 +0000 2018,5,@CBSNews
0.4215,0.865,0.0,0.135,Mon Sep 17 22:28:27 +0000 2018,6,@CBSNews
-0.296,0.916,0.084,0.0,Mon Sep 17 22:28:27 +0000 2018,7,@CBSNews
0.7804,0.771,0.0,0.229,Mon Sep 17 22:28:15 +0000 2018,8,@CBSNews
0.128,0.769,0.104,0.127,Mon Sep 17 22:28:15 +0000 2018,9,@CBSNews
-0.1027,0.748,0.136,0.117,Mon Sep 17 22:28:11 +0000 2018,10,@CBSNews
0.4939,0.842,0.0,0.158,Mon Sep 17 22:28:03 +0000 2018,11,@CBSNews
-0.128,0.927,0.073,0.0,Mon Sep 17 22:28:02 +0000 2018,12,@CBSNews
-0.5994,0.766,0.234,0.0,Mon Sep 17 22:28:01 +0000 2018,13,@CBSNews
0.128,0.769,0.104,0.127,Mon Sep 17 22:27:55 +0000 2018,14,@CBSNews
-0.8286,0.721,0.279,0.0,Mon Sep 17 22:27:51 +0000 2018,15,@CBSNews
0.0,1.0,0.0,0.0,Mon Sep 17 22:27:45 +0000 2018,16,@CBSNews
0.128,0.769,0.104,0.127,Mon Sep 17 22:27:36 +0000 2018,17,@CBSNews
0.0,1.0,0.0,0.0,Mon Sep 17 22:27:31 +0000 2018,18,@CBSNews
0.0,1.0,0.0,0.0,Mon Sep 17 22:27:31 +0000 2018,19,@CBSNews
0.0,1.0,0.0,0.0,Mon Sep 17 22:27:30 +0000 2018,20,@CBSNews
0.4939,0.842,0.0,0.158,Mon Sep 17 22:27:29 +0000 2018,21,@CBSNews
-0.128,0.919,0.081,0.0,Mon Sep 17 22:27:26 +0000 2018,22,@CBSNews
0.4404,0.818,0.0,0.182,Mon Sep 17 22:27:18 +0000 2018,23,@CBSNews
0.0772,0.92,0.0,0.08,Mon Sep 17 22:27:17 +0000 2018,24,@CBSNews
-0.296,0.916,0.084,0.0,Mon Sep 17 22:27:10 +0000 2018,25,@CBSNews
0.0,1.0,0.0,0.0,Mon Sep 17 22:27:01 +0000 2018,26,@CBSNews
0.4215,0.859,0.0,0.141,Mon Sep 17 22:26:57 +0000 2018,27,@CBSNews
-0.296,0.916,0.084,0.0,Mon Sep 17 22:26:57 +0000 2018,28,@CBSNews
0.0,1.0,0.0,0.0,Mon Sep 17 22:26:56 +0000 2018,29,@CBSNews
